COUNTRY_CODE;MERCHANT_ID;PRODUCT_ID;ORDER_ID;ORDERLINE_ID;ORDER_DATE;DATE_SAV_CREATION;DATE_REFUND
fr-fr;2;3214;3313232;3321752;2020-07-01 00:01:33.000;;
fr-fr;807;3207;3313233;3321753;2020-07-01 00:01:36.000;;
fr-fr;769;1794;3313236;3321756;2020-07-01 00:03:30.000;2020-07-02 12:49:37.000;
fr-fr;7;1192;3313237;3321757;2020-07-01 00:04:05.000;;2020-08-14 12:19:51.000
fr-fr;332;14550;3313238;3321758;2020-07-01 00:04:13.000;2020-07-04 19:09:14.000;
fr-fr;713;23862;3313239;3321759;2020-07-01 00:05:30.000;2020-07-02 13:44:10.000;
fr-fr;996;1224;3313243;3321763;2020-07-01 00:08:15.000;;
es-es;41;1793;3313244;3321764;2020-07-01 00:08:17.000;;
es-es;78;2641;3313248;3321768;2020-07-01 00:09:58.000;;
fr-fr;1001;116737;3313250;3321770;2020-07-01 00:10:14.000;2020-07-04 15:22:20.000;
es-es;441;1202;3313251;3321771;2020-07-01 00:10:20.000;2020-07-03 15:47:27.000;2020-08-17 17:11:02.000
es-es;491;14562;3313252;3321772;2020-07-01 00:10:44.000;2020-07-03 12:53:50.000;
de-de;414;10744;3313253;3321773;2020-07-01 00:10:45.000;;
fr-fr;342;14558;3313254;3321774;2020-07-01 00:11:28.000;2020-07-05 22:33:14.000;
es-es;116;6516;3313255;3321775;2020-07-01 00:12:02.000;2020-07-05 15:04:05.000;2020-07-27 14:15:54.000
fr-fr;666;16746;3313257;3321777;2020-07-01 00:13:29.000;;
fr-fr;713;15028;3313259;3321779;2020-07-01 00:14:50.000;;
fr-fr;256;1478;3313260;3321780;2020-07-01 00:15:44.000;;
fr-fr;996;1224;3313261;3321781;2020-07-01 00:15:44.000;;
fr-fr;769;10748;3313262;3321782;2020-07-01 00:17:37.000;2020-07-05 21:10:50.000;
de-de;80;1859;3313263;3321783;2020-07-01 00:17:54.000;;
